Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
63, 2, 0, 47, 25.0, 4-10, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
63, -113, 0, -23, 25.0, 4-111, g_conill_blau_escas, Blue rabbit2, 0-077-350-110, BORN, , , , , 4-74, 3
63, -131, 0, -49, 25.0, 4-112, g_conill_blau_escas, Blue rabbit2, 0-077-350-110, BORN, , , , , 4-74, 3
63, -105, 0, -35, 25.0, 4-113, g_conill_blau_escas, Blue rabbit2, 0-077-350-110, BORN, , , , , 4-74, 3
63, -122, 0, -36, 25.0, 4-74, g_conill_blau_escas, Blue rabbit2, 0-077-350-110, TRY BIRTH, , , , , tryOk=3, offSpring=3.0  births=3
64, -71, 0, 9, 25.0, 4-77, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=0, offSpring=3.0  births=0
65, -47, 0, -67, 25.0, 4-114, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-78, 3
65, -36, 0, -87, 25.0, 4-115, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-78, 3
65, -42, 0, -69, 25.0, 4-78, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
65, 55, 0, -107, 25.0, 4-116, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-47, 2
65, 53, 0, -89, 25.0, 4-47, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
66, 9, 0, -44, 25.0, 4-117, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-90, 3
66, 17, 0, -58, 25.0, 4-90, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
67, 49, 0, 60, 25.0, 4-118, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-94, 4
67, 67, 0, 58, 25.0, 4-94, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=1, offSpring=3.0  births=1
67, -58, 0, 51, 25.0, 4-119, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-20, 2
67, -55, 0, 71, 25.0, 4-120, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-20, 2
