Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 53, 0, -190, 25.0, 7-195, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -71, 0, 87, 25.0, 7-196, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -89, 0, 91, 25.0, 7-197, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -157, 0, 107, 25.0, 7-198, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -6, 0, 123, 25.0, 7-199, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 78, 0, -174, 25.0, 7-200, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -112, 0, 48, 25.0, 7-201, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 79, 0, -11, 25.0, 7-202, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 112, 0, -56, 25.0, 7-203, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -218, 21, -81, 24.8, 7-204, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -154, 0, -183, 25.0, 7-205, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 103, 0, 73, 25.0, 7-206, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 33, 0, -68, 25.0, 7-207, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -16, 0, 3, 25.0, 7-208, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -16, 0, -68, 25.0, 7-209, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -46, 0, 152, 25.0, 7-210, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -131, 0, -120, 25.0, 7-211, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 42, 0, 65, 25.0, 7-212, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -110, 31, -211, 24.7, 7-213, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -68, 0, -59, 25.0, 7-214, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 68, 0, -133, 25.0, 7-215, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -57, 0, -124, 25.0, 7-216, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -142, 0, -172, 25.0, 7-217, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -31, 0, -53, 25.0, 7-218, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -16, 0, -143, 25.0, 7-219, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 59, 0, -53, 25.0, 7-220, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -180, 0, 62, 25.0, 7-221, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -209, 0, -90, 25.0, 7-222, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -9, 0, -63, 25.0, 7-223, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
1, -98, 0, -41, 25.0, 7-117, g_herba, Grass, 0-067-358-000, DIED, 4-38, g_conill, White Rabbit, 0-067-350-110, PREY
1, -100, 0, -42, 25.0, 4-38, g_conill, White Rabbit, 0-067-350-110, EAT, 7-117, g_herba, Grass, 0-067-358-000, heMenjatPes=0.3 pes=5.1
2, -14, 0, -22, 25.0, 7-167, g_herba, Grass, 0-067-358-000, DIED, 4-10, g_conill, White Rabbit, 0-067-350-110, PREY
2, -13, 0, -21, 25.0, 4-10, g_conill, White Rabbit, 0-067-350-110, EAT, 7-167, g_herba, Grass, 0-067-358-000, heMenjatPes=0.2 pes=4.9
11, -36, 0, 63, 25.0, 7-68, g_herba, Grass, 0-067-358-000, DIED, 4-39, g_conill, White Rabbit, 0-067-350-010, PREY
11, -35, 0, 63, 25.0, 4-39, g_conill, White Rabbit, 0-067-350-010, EAT, 7-68, g_herba, Grass, 0-067-358-000, heMenjatPes=0.7 pes=5.0
16, -35, 0, -45, 25.0, 4-17, g_conill, White Rabbit, 0-067-350-110, DIED, 5-53, g_guineu, Fox, 0-067-352-210, PREY
16, -36, 0, -45, 25.0, 5-53, g_guineu, Fox, 0-067-352-210, EAT, 4-17, g_conill, White Rabbit, 0-067-350-110, heMenjatPes=0.2 pes=19.4
30, -54, 0, -28, 25.0, 4-1, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -11, 0, -132, 25.0, 4-2, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -52, 0, -103, 25.0, 4-3, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -124, 0, -28, 25.0, 4-4, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 67, 0, -41, 25.0, 4-5, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -6, 0, -97, 25.0, 4-6, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -85, 0, -50, 25.0, 4-7, g_conill, White Rabbit, 0-067-350-010, DIED, , , , , STARVE
30, -83, 0, -47, 25.0, 4-8, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
