Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
224, -5, 0, 8, 25.0, 1-74, g_bush, Bush, 0-037-108-090, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
228, 49, 0, 17, 25.0, 1-80, g_bush, Bush, 0-067-108-090, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
228, 22, 0, 38, 25.0, 1-58, g_bush, Bush, 0-067-358-000, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
229, -10, 0, -15, 25.0, 1-48, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
229, -10, 0, -15, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-48, g_bush, Bush, 0-067-358-000, heMenjatPes=105.2 pes=76.6
231, 65, 0, 20, 25.0, 1-91, g_bush, Bush, 0-067-108-090, BORN, , , , , 1-84, 2
231, 76, 0, 27, 25.0, 1-84, g_bush, Bush, 0-067-108-090, TRY BIRTH, , , , , tryOk=1, offSpring=1.0  births=1
232, 26, 0, 12, 25.0, 1-72, g_bush, Bush, 0-037-108-090, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
240, 22, 0, 10, 25.0, 1-81, g_bush, Bush, 0-067-108-090, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
246, 0, 0, -32, 25.0, 1-92, g_bush, Bush, 0-067-358-000, BORN, , , , , 1-43, 2
246, 0, 0, -18, 25.0, 1-43, g_bush, Bush, 0-067-358-000, TRY BIRTH, , , , , tryOk=1, offSpring=1.0  births=1
247, -12, 0, -1, 25.0, 1-70, g_bush, Bush, 0-037-158-090, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
248, 40, 0, 40, 25.0, 1-66, g_bush, Bush, 0-037-158-000, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
248, 3, 0, 32, 25.0, 2-93, g_sheep, Sheep, 0-067-354-119, BORN, , , , , 2-37, 4
248, 9, 0, 32, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, TRY BIRTH, , , , , tryOk=1, offSpring=1.0  births=2
248, 58, 0, 33, 25.0, 1-63, g_bush, Bush, 0-037-158-000, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
249, 42, 0, -21, 25.0, 3-94, g_alien2, Alien Pred, 0-067-354-140, BORN, , , , , , 1
251, -18, 0, 0, 25.0, 1-49, g_bush, Bush, 0-067-358-000, TRY BIRTH, , , , , tryOk=0, offSpring=1.0  births=0
252, 0, 0, -17, 25.0, 1-77, g_bush, Bush, 0-067-108-090, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
252, 1, 0, -16, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-77, g_bush, Bush, 0-067-108-090, heMenjatPes=112.8 pes=76.6
